Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
History,Normandy landings,1335,49.33330,-0.56667,0,0.47746,Bushtalk Radio,"The Normandy landings were the landing operations and associated airborne operations on Tuesday, 6 June 1944 of the Allied invasion of Normandy in Operation Overlord during World War II.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1335",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Malaysia Airlines Flight 17,1343,48.13810,38.63890,0,8.66868,Bushtalk Radio,"Malaysia Airlines Flight 17 was a scheduled passenger flight from Amsterdam to Kuala Lumpur that was shot down on 17 July 2014 while flying over eastern Ukraine.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1343",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,American Airlines Flight 587,1344,40.57720,-73.85060,0,-12.85297,Bushtalk Radio,"American Airlines Flight 587 was a regularly scheduled international passenger flight that crashed in the neighborhood of Belle Harbor on November 12, 2001.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1344",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Japan Airlines Flight 123,1345,36.00140,138.69400,0,-8.06055,Bushtalk Radio,"Japan Airlines Flight 123 that crashed on Osutaka Ridge, near Mount Osutaka.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1345",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,American Airlines Flight 191,1346,42.00970,-87.92920,0,-4.48073,Bushtalk Radio,"American Airlines Flight 191 was a passenger flight that crashed into the ground on May 25, 1979, after the left engine detached.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1346",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Wanggongchang Explosion,1347,39.90220,116.36500,0,-7.35504,Bushtalk Radio,"The Wanggongchang Explosion, also known as the Great Tianqi Explosion was an unexplained catastrophic explosion that occurred on May 30 of the Chinese calendar in 1626 AD had reportedly killed around 20,000 people.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1347",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Halifax Explosion,1348,44.66920,-63.59640,0,-16.74084,Bushtalk Radio,"The Halifax Explosion was a disaster that occurred in Halifax, Nova Scotia, Canada, on the morning of 6 December 1917.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1348",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,1998 Jesse pipeline explosion,1349,5.87000,5.75000,0,-1.20332,Bushtalk Radio,"On October 18, 1998, a pipeline explosion occurred in the community of, 290 kilometres southeast of Lagos, Nigeria.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1349",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,1979 Machchhu dam failure,1350,22.76390,70.86580,0,0.62210,Bushtalk Radio,"The Machchhu dam failure or Morbi disaster was a dam-related flood disaster which occurred on 11 August 1979, in India.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1350",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Johnstown Flood,1351,40.34030,-78.77080,0,-10.21073,Bushtalk Radio,"The Johnstown Flood occurred on May 31, 1889, after the catastrophic failure of the South Fork Dam, located on the south fork of the Little Conemaugh River, 14 miles upstream of the town of Johnstown, Pennsylvania.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1351",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,2013 Dhaka garment factory collapse,1352,23.84610,90.25750,0,-0.45973,Bushtalk Radio,"The 2013 Dhaka garment factory collapse was a structural failure that occurred on 24 April 2013 in the Savar Upazila of Dhaka District, Bangladesh, where an eight-story commercial building called Rana Plaza collapsed.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1352",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Fukushima Daiichi nuclear disaster,1353,37.42140,141.03300,0,-7.98885,Bushtalk Radio,"The Fukushima Daiichi nuclear disaster genshiryoku hatsudensho jiko was a nuclear accident at the Fukushima Daiichi Nuclear Power Plant in Ōkuma, Fukushima Prefecture.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1353",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Three Mile Island accident,1354,40.15330,-76.72530,0,-11.36245,Bushtalk Radio,"The Three Mile Island accident was a partial meltdown of reactor number 2 of Three Mile Island Nuclear Generating Station in Dauphin County, Pennsylvania, near Harrisburg, and subsequent radiation leak that occurred on March 28, 1979.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1354",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Timgad,1369,35.48420,6.46861,0,2.24642,Bushtalk Radio,"Timgad was a Roman city in the Aurès Mountains of Algeria.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1369",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Plazuelas,1377,20.40496,-101.82681,0,5.11780,Bushtalk Radio,"Plazuelas is a prehispanic archaeological site.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1377",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Peralta,1378,20.47114,-101.41600,0,5.14095,Bushtalk Radio,"Peralta is a prehispanic mesoamerican archaeological site located in Abasolo Municipality, Guanajuato, just outside the village of San Jose de Peralta in the Mexican state of Guanajuato.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1378",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Cañada de la Virgen,1379,20.85810,-100.92800,0,4.87197,Bushtalk Radio,"Cañada de la Virgen is an Otomi archaeological site that has been recently excavated.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1379",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Conington Airfield,1380,52.46689,-0.25045,0,0.18656,Bushtalk Radio,"Conington Airfield and the Second World War

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1380",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Sinking of the Titanic,1425,41.73257,-49.94692,0,-15.42512,Bushtalk Radio,"RMS Titanic was a British passenger liner operated by the White Star Line that sank in the North Atlantic Ocean on 15 April 1912, after striking an iceberg during her maiden voyage from Southampton to New York City.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1425",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Ancient Carthage,1427,36.84390,10.32640,0,2.98187,Bushtalk Radio,"220 BC.  An Overview of Carthage and the Barca family after the end of the First Punic War

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1427",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Siege of Saguntum,1429,39.68260,-0.28110,0,0.88531,Bushtalk Radio,"May-December 219BC.  The Siege of Saguntum was Hannibal’s attempt at provoking Rome into war a second time.  

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1429",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: March Through the Pyrenees,1430,42.46500,2.86333,0,1.58747,Bushtalk Radio,"Spring and Summer 218 BC.  Hannibal set out to capture more area to secure the land route his future reinforcements would take.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1430",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of the Rhone Crossing,1431,44.07317,4.76339,0,2.01506,Bushtalk Radio,"September 218 BC.  The Carthaginians cross the Rhone River to fight with a Gallic tribe and are scouted by the Romans.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1431",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: March Through the Alps,1432,44.71050,7.06640,0,2.72579,Bushtalk Radio,"Fall and winter 218 BC.  The Carthagenians encounter local tribes, the weather, and broken passes before they successfully make it through the Alps.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1432",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,The Garden Tomb,1433,31.78390,35.23000,0,4.91557,Bushtalk Radio,"The Garden Tomb is a rock-cut tomb in Jerusalem, which was unearthed in 1867 and is considered by some Protestants to be the site of the burial and resurrection of Jesus.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1433",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of Trebia,1434,45.05000,9.60000,0,3.19752,Bushtalk Radio,"December 218 BC. Roman forces meet the Carthaginians in the first pitched battle between the two.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1434",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of Lake Trasimene,1435,43.19750,12.08500,0,3.77255,Bushtalk Radio,"June 217 BC.  The Roman armies were maneuvering to meet the Carthaginians at Lake Trasimene but underestimated Hannibal strategies.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1435",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of Cannae,1437,41.28785,16.15008,0,4.28954,Bushtalk Radio,"Spring 216 BC.  Hannibal had seized a crucial supply depot in Cannae.  The Roman’s fielded the largest army they had ever amassed, 86,000 troops, to take it back.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1437",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of the Metaurus,1439,43.78240,13.01450,0,3.89817,Bushtalk Radio,"June 207 BC.  After three major defeats and five years of skirmishes and maneuvering the Romans are able to deal a decisive blow to the Carthaginians establish dominance on the Italian peninsula.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1439",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of the Great Plains,1440,37.05795,10.06260,0,3.07709,Bushtalk Radio,"203 BC.  Roman troops, under the direction of Scipio Africanus, are moving across northern Africa

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1440",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Second Punic War: Battle of Zama,1441,36.29889,9.44917,0,2.80841,Bushtalk Radio,"October 202 BC.  Scipio Africanus and Hannibal face each other in battle for the last time.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1441",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Menin Gate,1449,50.85220,2.89167,0,1.40721,Bushtalk Radio,"The Menin Gate Memorial to the Missing is a war memorial in Ypres, Belgium, dedicated to the British and Commonwealth soldiers who were killed in the Ypres Salient of World War I and whose graves are unknown.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1449",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Hellfire Corner,1450,50.84840,2.91709,0,1.41216,Bushtalk Radio,"Hellfire Corner was a junction in the Ypres Salient in the First World War.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1450",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Nag Hammadi discovery,1451,26.16935,32.21089,0,4.37069,Bushtalk Radio,"Jabal aţ Ţārif, where the Nag Hammadi library was discovered

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1451",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Athens (1946),1509,35.44200,-84.59200,0,-5.49198,Bushtalk Radio,"The Battle of Athens was a rebellion led by citizens in Athens and Etowah, Tennessee, United States, against the local government in August 1946.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1509",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
